"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description"
"165","343","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Personal data access","Personal data access","Reports of denial reasons, response times and challenge communications are monitored and assessed. Remediation plans are identified and implemented for unacceptable response time and inappropriate denials of access. The denial process is automated and includes electronic responses where possible and appropriate."
"166","345","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Personal data access","Personal data access","Reports of updates and correction requests and response time to update records are monitored and assessed. Documentation or justification for not providing information updates to relevant third parties is monitored and assessed to determine whether the economically feasible requirement was met. Updating is automated and self-service where possible and appropriate. Distribution of updated information to third parties is also automated where possible and appropriate."
"167","347","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Accuracy","Data quality","Cases that involve disagreements over the accuracy and completeness of personal information are reviewed and remediation plans are identified and implemented as appropriate. The process to complete a Statement of Disagreement is automated where possible and appropriate."
"168","348","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Privacy policy","Privacy policy","Disclosure provisions in privacy policies cover all relevant aspects and are fully documented."
"169","349","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party policy compliance","Management monitors compliance with privacy policies and procedures relating to disclosure to third parties. Issues of non-compliance are identified and remedial action taken to ensure compliance."
"170","350","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third parties","Documented procedures that cover all relevant aspects, and in accordance with relevant laws and regulations are in place to inform individuals that personal information is disclosed to third parties, but only for the purposes identified in the privacy notice and for which the individual has provided consent. Third parties or classes of third parties to whom personal information is disclosed are identified."
"171","353","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party agreements","Contracts and other agreements involving personal information provided to third parties are reviewed to ensure the appropriate information has been communicated and agreement has been obtained. Remediation plans are developed and implemented where required."
"172","355","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third parties","Reports of personal information provided to third parties are maintained and such reports are reviewed to ensure only information that has consent has been provided to third parties. Remediation plans are developed and implemented where inappropriate disclosure has occurred or where third parties are not in compliance with their commitments. Disclosure to third parties may be automated."
"173","358","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party policy","Documented procedures covering all relevant aspects have been implemented to ensure the proper disclosure of personal information to third parties for new purposes. Such procedures are uniformly and consistently applied. Consent from individuals prior to disclosure is documented. Existing agreements with third parties are reviewed and updated to reflect the new purposes and uses."
"174","359","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third parties","Reports of disclosure of personal information to third parties for new purposes and uses, as well as the associated consent by the individual, where applicable, are monitored and assessed, to ensure appropriate consent has been obtained and documented. Collection of consent for new purposes and uses is automated where possible and appropriate."
"175","360","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party policy","Documented policies and procedures covering all relevant aspects are in place to take remedial action in response to misuse of personal information by a third party. Such procedures are consistently and uniformly applied."
"176","361","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party monitoring","Exception reports are used to record inappropriate or unacceptable activities by third parties and to monitor the status of remedial activities. Remediation plans are developed and procedures implemented to address unacceptable or inappropriate use."
"177","363","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy monitoring & compliance","Policy monitoring & compliance","Management monitors compliance with privacy policies and procedures relating to security. Issues of non-compliance are identified and remedial action taken to ensure compliance."
"178","364","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Notice & disclosure","Data subject informing","Individuals are informed about the entity’s security practices for the protection of personal information. Security policies, procedures and practices are documented and implemented."
"179","365","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data subject awareness","Data subject awareness","Communications explain to individuals the need for security, the initiatives the entity takes to ensure that personal information is protected and informs individuals of other activities they may want to take to further protect their information."
"180","368","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy content","Policy content","Quality provisions in privacy policies cover all relevant aspects and are fully documented."
"181","369","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy monitoring & compliance","Policy monitoring & compliance","Management monitors compliance with privacy policies and procedures relating to quality. Issues of non-compliance are identified and remedial action taken to ensure compliance."
"182","370","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data subject awareness","Data subject awareness","Individuals are informed of their responsibility for providing accurate and complete personal information and for contacting the entity if corrections are necessary. Such communications cover all relevant aspects and are documented."
"183","375","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Purpose limitation","Purpose limitation","Processes are in place to monitor the relevance of personal information collected, used and disclosed. Results are analysed and modifications and improvements made as necessary."
"184","382","Industry","Data governance maturity","Capability","Boswell & Courtright (2022)","Roles & responsibilities","Roles & responsibilities","Stakeholder sponsor in place."
"185","384","Industry","Data governance maturity","Capability","Boswell & Courtright (2022)","Roles & responsibilities","Roles & responsibilities","All data owners in place."
"186","386","Industry","Data governance maturity","Capability","Boswell & Courtright (2022)","Personal data access","Personal data access","Governance of data access security, privacy, and retention policy authoring and maintenance."
"187","388","Industry","Data governance maturity","Capability","Boswell & Courtright (2022)","Privacy policy","Privacy policy","Policies and rules to govern data access security, data privacy, and retention consolidated in the data catalogue using classification schemes and enforced everywhere."
"188","389","Industry","Data governance maturity","Capability","Boswell & Courtright (2022)","Technology","Software","Data privacy enforcement software in all data stores."
"189","390","Government","Privacy maturity","Capability","New Zealand Government (2014)","Roles & responsibilities","Roles & responsibilities","Formal and structured line management and governance over privacy management exists. There is formal responsibility and accountability for each element of the privacy programme and for the implementation of the Information Privacy Principles into the business. A senior executive is authorised to make decisions on privacy management, including the programme's content, approach, and resourcing. This person is accountable for privacy management and maintains oversight of the agency’s privacy management."
"190","391","Government","Privacy maturity","Capability","New Zealand Government (2014)","Roles & responsibilities","Roles & responsibilities","All staff and contractors are responsible for ensuring the principles of privacy management are adhered to. This responsibility is an integral part of their performance assessment and management."
"191","395","Government","Privacy maturity","Capability","New Zealand Government (2014)","Privacy culture stimulation","Culture","Staff and management are comfortable identifying areas for improving privacy practices and discuss/raise these freely and proactively."
"192","396","Government","Privacy maturity","Capability","New Zealand Government (2014)","Privacy culture stimulation","Culture","Everyone in the agency actively identifies with and aligns to the privacy mission of the organisation; transparency and accountability are the norm; new insights are acted upon in unison; and conflicts are resolved positively and effectively. Central to the agency’s culture and approach is everyone taking responsibility and accountability for ensuring personal information is treated appropriately and with respect."
"193","398","Government","Privacy maturity","Capability","New Zealand Government (2014)","Audit, monitoring, & compliance","Monitoring","Agency's privacy-related key performance indicators are used to track and measure the performance of the privacy function. Performance is regularly reported to management."
"194","399","Government","Privacy maturity","Capability","New Zealand Government (2014)","Audit, monitoring, & compliance","Auditing","Outcomes of the assurance programme are used to inform changes to the processes and responsibilities for managing personal information."
"195","400","Government","Privacy maturity","Capability","New Zealand Government (2014)","Privacy-by-design","PbD processes","Information is managed throughout its life-cycle, including long-term preservation and access and caters for technological obsolescence."
"196","401","Government","Privacy maturity","Capability","New Zealand Government (2014)","Environment monitoring & collaboration","Privacy environment monitoring","Collaboration with other agencies and the public, facilitating access, strengthening awareness, and supporting international collaboration."
"197","407","Government","Privacy maturity","Capability","New Zealand Government (2014)","Risk management","Risk identification","Proactive identification and assessment of privacy risks before issues occur, which most management and staff perceive as adding value."
"198","408","Government","Privacy maturity","Capability","New Zealand Government (2014)","Risk management","Risk monitoring","Analysis / monitoring of privacy risk information is conducted to review the trends from historic information and the effectiveness of controls. The privacy function supports the agency in improving controls and implementing best privacy management practice."
"199","409","Government","Privacy maturity","Capability","New Zealand Government (2014)","Policy update & improvement","Policy improvement","Staff and management proactively contribute to designing practices to support and complement privacy policies. They identify and communicate when gaps and opportunities are identified."
"200","412","Government","Privacy maturity","Capability","New Zealand Government (2014)","Awareness & training","Employee awareness","All staff/contractors are active in identifying privacy risks, control gaps, remediation, and improvement opportunities."
"201","415","Government","Privacy maturity","Capability","New Zealand Government (2014)","Accountability","Accountability","All personal information, how it is collected, secured, accessed, corrected, stored, disclosed, used, and classified is recorded and regularly assessed."
"202","416","Government","Privacy maturity","Capability","New Zealand Government (2014)","Processing activity","Data processing","There are documented data flows of personal information collected, used, stored, and disclosed for all processes."
"203","423","Government","Privacy maturity","Capability","New Zealand Government (2014)","PIA/DPIA","PIA/DPIA","Privacy impact assessments are centrally referenced so that subsequent change can build on earlier analysis."
"204","424","Government","Privacy maturity","Capability","New Zealand Government (2014)","PIA/DPIA","PIA/DPIA","Privacy impact assessments are also applied to existing business processes to identify opportunities for improvement."
"205","425","Government","Privacy maturity","Capability","New Zealand Government (2014)","Third-party activities","Third-party PIA","A privacy risk assessment for third parties is completed before any contract under which personal information is made available is granted."
"206","426","Government","Privacy maturity","Capability","New Zealand Government (2014)","Third-party activities","Third-party auditing","Privacy audits of third parties are undertaken on a regular basis and they are held accountable for the results."
"207","430","Government","Privacy maturity","Capability","New Zealand Government (2014)","Processing activity","Data processing","Differentiate the personal information necessary for the purposes identified from optional information."
"208","436","Government","Privacy maturity","Capability","New Zealand Government (2014)","Personal data access","Personal data access","Documented and complete policies and processes in place to ensure individuals are authenticated before granting them access to personal information."
"209","437","Government","Privacy maturity","Capability","New Zealand Government (2014)","Personal data access","Personal data access","Processes are in place to: review the validity of granting requested access."
"210","439","Government","Privacy maturity","Capability","New Zealand Government (2014)","Personal data rectification","Personal data rectification","Requests for correction of personal information are recorded, monitored, and reported."
"211","441","Government","Privacy maturity","Capability","New Zealand Government (2014)","Third-party activities","Third-party policy","Documented and complete processes in place on the use, redaction, and disclosure of personal information, both internally and to third parties."
"212","442","Government","Privacy maturity","Capability","New Zealand Government (2014)","Roles & responsibilities","Roles & responsibilities","Disclosure policies cover who takes decisions about disclosures and new uses, and what process is required to ensure any disclosures or new uses comply with the law and are in the interests of the agency."
"213","443","Government","Privacy maturity","Capability","New Zealand Government (2014)","Notice & disclosure","Disclosure","Disclosure policies cover documentation of any disclosures or new uses of information."
"214","444","Government","Privacy maturity","Capability","New Zealand Government (2014)","Notice & disclosure","Disclosure","Disclosure policies cover factors that need to be considered when deciding whether to disclose."
"215","445","Government","Privacy maturity","Capability","New Zealand Government (2014)","Notice & disclosure","Disclosure","Disclosure policies cover integration of use and disclosure policies into the wider privacy strategy."
"216","447","Government","Privacy maturity","Capability","New Zealand Government (2014)","Personal data erasure","Data retention & deletion","Policies and procedures for disposal and destruction of personal information are reviewed regularly, and also reviewed in response to new types of personal information identified on the agency’s personal information inventory."
"217","452","Industry","Data management maturity","Capability","CMMI Institute (2019)","Risk management","Risk management","Define parameters used to analyse and categorize risks and to control the risk management effort."
"218","453","Industry","Data management maturity","Capability","CMMI Institute (2019)","Risk management","Risk management","Establish and maintain the strategy to be used for risk management."
"219","454","Industry","Data management maturity","Capability","CMMI Institute (2019)","Risk management","Risk management","Identify, analyse, and document risks by following the organization’s standard process."
"220","457","Industry","Data management maturity","Capability","CMMI Institute (2019)","Risk management","Risk monitoring","Monitor the status of each risk periodically and implement the risk mitigation plan as appropriate."
"221","459","Industry","Data management maturity","Capability","CMMI Institute (2019)","Accuracy","Data quality","Data quality assessment objectives, targets, and thresholds are established, used, and maintained according to standard techniques and processes."
"222","460","Industry","Data management maturity","Capability","CMMI Institute (2019)","Accuracy","Data quality","Data quality assessment results include recommendations for remediation with supporting rationale"
"223","461","Industry","Data management maturity","Capability","CMMI Institute (2019)","Accuracy","Data quality","Data quality measurement reporting standards are integrated into the systems development lifecycle and compliance processes."
"224","463","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy programme/framework","Privacy programme/framework","Maintains a comprehensive privacy program."
"225","465","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy controls","Privacy controls","Determines privacy protections that will be implemented to protect individuals that are not covered under the laws, regulations, and directives that govern the organization’s operations."
"226","466","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Defines organization-specific information privacy principles that address privacy requirements in the context of its mission."
"227","467","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Awareness & training","Training","Ensures that employee performance plans include privacy considerations."
"228","468","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Awareness & training","Training","Develops a set of privacy competency requirements."
"229","470","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy programme/framework","Privacy programme/framework","Ensures coordination between privacy and other programs."
"230","471","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy programme/framework","Privacy programme/framework","Develops formal and informal relationships with internal and external groups that support the privacy program’s activities."
"231","472","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Develops a risk-based approach to developing and implementing internal standards that support consistent implementation of privacy requirements."
"232","473","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy culture stimulation","Culture","Establishes rules of behaviour for employees with access to personal data and consequences for violating them."
"233","477","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Audit, monitoring, & compliance","Monitoring","Reviews and approves the categorization of information systems that involve personal data."
"234","479","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Data collection","Data identification & classification","Balances the need for information collection with the privacy risks."
"235","481","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Data minimisation","Data minimisation","Limits the creation, collection, use, processing, storage, maintenance, dissemination, and disclosure of personal data."
"236","483","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Recording & registering","Recording & registering","Establishes, maintains, and periodically updates an inventory that contains a listing of all programs and information systems identified as collecting, using, maintaining, or sharing personal data, and reduces personal data holdings where possible."
"237","484","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Processing activity","Data processing activity","Provides each update of the personal data inventory to the CIO, information security official, or other appropriate senior official periodically to support the establishment of information security requirements for all new or modified information systems containing personal data."
"238","486","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Ensures compliance with privacy requirements and manages privacy risks."
"239","488","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Risk management","Risk management","Strategically integrates privacy documentation, including risk assessments, into privacy risk management processes."
"240","489","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Notice & disclosure","Disclosure management","Keeps an accurate accounting of disclosures of information."
"241","490","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Notice & disclosure","Notice & disclosure","Makes the accounting of disclosures available to the person named in the record upon request."
"242","500","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data erasure","Data retention & deletion","Destroys information from individuals upon request when practicable."
"243","501","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Develops policies and procedures that minimize the use of personal data for testing, training, or research; and for developing software or programs; piloting software of programs; and for use in any other non-operational environments."
"244","502","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy controls","Privacy controls","Implements controls to protect personal data used for testing, training, or research; and for developing software or programs; piloting software of programs; and for use in any other non-operational environments."
"245","505","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Third-party activities","Third-party agreements","Where appropriate, enters into agreements with third parties that specifically describe the personal data covered and specifically enumerate the purposes for which the personal data may be used as well as allowable disclosures (if any) and retention conditions."
"246","507","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Third-party activities","Third-party data sharing","Monitors, audits, and trains its staff on the authorized sharing of personal data with third parties and on the consequences of unauthorized use or sharing of personal data."
"247","509","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Implements procedures to coordinate across the organization to address privacy requirements at all levels of the organization and in all locations."
"248","511","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Environment monitoring & collaboration","Privacy environment monitoring","Reviews regulations and reports from other entities to identify trends and best practices that may benefit the organization."
"249","512","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Risk management","Risk management","Supports identification and management of privacy risks through the acquisition life cycle."
"250","514","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Includes privacy requirements in Requests for Proposal."
"251","515","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Risk management","Risk evaluation","Establishes a process to evaluate privacy risks for IT investments."
"252","516","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy-by-design","Privacy-by-design","Ensures that investment plans meet the privacy requirements appropriate for the life cycle stage of the investment."
"253","517","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Security activities","Security","Upgrades, replaces, or retires unprotected information systems."
"254","518","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Security activities","Security awareness","Ensures that senior privacy officials are made aware of information systems and components that cannot be protected."
"255","520","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Ensures that all resources planning and management activities consider privacy throughout the system development life cycle and risks are managed."
"256","521","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Designs information systems to support privacy by automating privacy controls."
"257","522","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Limits the capabilities of system to only those functions that support authorized collection, use, retention, and disclosure or personal data."
"258","523","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Includes privacy sections in relevant system development documents (e.g. requirements documents, interface control documents)."
"259","524","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System decommissioning","Ensures the process for retiring systems adequately addresses privacy requirements."
"260","525","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy controls","Privacy controls","Aligns information privacy principles and activities with cybersecurity processes and activities."
"261","526","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy controls","Privacy controls","Implements a privacy control selection process."
"262","529","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Technology","Technology","Evaluates privacy considerations for new and emerging technologies as part of the organization’s technology assessment and infrastructure planning activities."
"263","532","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Incident & breach response","Incident response","Establishes roles and responsibilities to ensure oversight and coordination of incident response."
"264","533","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Incident & breach response","Incident response","Documents incident response lessons learned and update procedures."
"265","534","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Incident & breach response","Incident response","Ensures that processes are in place to verify corrective actions for privacy incidents."
"266","537","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Incident & breach response","Incident response","Defines additional incident response procedures and roles for responding to high-impact privacy incidents, including notification and engagement of senior leadership with decision-making authority from relevant offices within the organization."
"267","538","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Contact","Customer relationship & contact","Ensures that the public has access to information about its privacy activities and is able to communicate with its senior privacy official."
"268","548","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data access","Personal data access","Provides individuals the ability to have access to their personal data maintained in its system(s)."
"269","549","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data access","Personal data access","Provides access procedures in relevant spoken languages where applicable."
"270","550","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data access","Personal data access","Documents and communicates reasons for denying access."
"271","551","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data rectification","Personal data rectification","Provides a process for individuals to have inaccurate personal data maintained by the organization corrected or amended, as appropriate."
"272","552","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data rectification","Personal data rectification","Establishes a process for disseminating corrections or amendments of the personal data to other authorized users of the personal data within a reasonable timeframe, such as external information-sharing partners and, where feasible and appropriate, notifies affected individuals that their information has been corrected or amended."
"273","553","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Personal data rectification","Personal data rectification","Documents and communicates reasons for denying amendment, correction, or redress."
"274","554","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Notice & disclosure","Disclosure","Implements and makes public in relevant spoken languages where applicable procedures for requesting redress."
"275","562","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Awareness & training","Awareness & training","Regularly evaluates training and awareness materials to determine effectiveness and whether it is current, revises materials to reflect feedback."
"276","564","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy requirements","Privacy requirements","Ensures that personnel read and certify (manually or electronically) acceptance of responsibilities for privacy requirements in rules of behaviour at least annually."
"277","565","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy culture stimulation","Culture","Holds personnel accountable for complying with privacy requirements and policies."
"278","566","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","Privacy controls","Privacy controls","Identifies privacy control assessment methodologies and metrics."
"279","569","Industry","Privacy maturity","Capability","The MITRE corporation (2019)","System engineering","System design & development","Corrects deficiencies that are identified in information systems."
"280","575","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Awareness & training","Employee awareness","Privacy awareness leads to a strong privacy culture; remedial training is provided when breaches or incidents occur."
"281","581","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Data identification & classification","Data identification","Workflow of privacy information across structured systems identified."
"282","582","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Security activities","Security policy","Systems comply with security policies"
"283","583","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Data identification & classification","Data identification","Formal system change management process identifies privacy information as new systems are deployed or retired."
"284","584","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Security activities","Security controls","Structured systems that contain privacy information have access and security controls documented, implemented and monitored."
"285","585","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","System engineering","Testing","Structured systems privacy information monitoring and security testing for newly deployed systems and change management for existing systems."
"286","590","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Personal data erasure","Data retention & deletion","Change management process identifies and disposes privacy information as new systems are deployed or retired."
"287","591","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Security activities","Security","Unstructured and semi-structured systems and repositories that contain privacy information have access and security controls implemented and monitored."
"288","592","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Security activities","Security","Unstructured and semi-structured systems security testing incorporated into change management for newly deployed systems."
"289","595","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Third-party activities","Third-party data sharing","Formal system change management process identifies all data flows for privacy information to all third-party systems as new systems are deployed or retired through entire lifecycle."
"290","596","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Service level agreement","Service level agreement","SLAs provide the capability to discover, produce and delete privacy information upon request."
"291","597","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Service level agreement","Service level agreement","SLA allows for a specific retention period for privacy information to be set to match the retention period of the company at an individual content level."
"292","598","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Service level agreement","Service level agreement","SLAs require third party to delete a consumer's privacy information upon request, as well as fulfilling other consumer access requests; agreement covers re-use, enrichment, retention and disposition."
"293","599","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Service level agreement","Service level agreement","SLAs require the use of specific security measures (e.g., encryption, anonymization) to protect privacy information; SLAs contain the right to retrieve or request deletion of the data at the end of the contract."
"294","600","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Service level agreement","Service level agreement","SLAs require third party to cooperate in privacy audits, privacy impact assessments, and regulatory or legal inquiry."
"295","601","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Recording & registering","Recording & registering","Access requests are automatically logged, including workflow to respond to the request; full records retained of requests."
"296","602","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Personal data access","Personal data access","Audit process strives for continuous improvement of consumer access request process."
"297","603","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Data identification & classification","Data identification & classification","Records management and privacy classification occur as a single process."
"298","604","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Storage limitation","Data storage","Automated controls prevent the premature deletion of privacy information that would conflict with legal retention requirements."
"299","606","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Environment monitoring & collaboration","Privacy environment monitoring","Established process for monitoring privacy environment; disputes, inquiries, complaints addressed in timely manner; management monitors noncompliance."
"300","608","Industry","U.S. Privacy laws","Capability","Association of Corporate Counsel (2019)","Audit, monitoring, & compliance","Auditing","Audit results are feedback into a change control process that may flag required changes to the policy or processes."
"301","609","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Privacy programme/framework","Privacy programme/framework","Execute a documented, risk-based program that supports business objectives while encompassing appropriate security and privacy principles that addresses applicable statutory, regulatory and contractual obligations."
"302","610","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Security activities","Security controls","Oversee the execution of cybersecurity and privacy controls to ensure appropriate evidence required due care and due diligence exists to meet compliance with applicable statutory, regulatory and contractual obligations."
"303","612","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Data transmission & transfer","Data transmission & transfer","Utilize appropriate cryptographic solutions and industry-recognized key management practices to protect the confidentiality and integrity of sensitive data both at rest and in transit."
"304","614","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Security activities","Security","Harden endpoint devices to protect against reasonable threats to those devices and the data those devices store, transmit and process."
"305","615","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Privacy culture stimulation","Culture","Execute sound hiring practices and ongoing personnel management to cultivate a security and privacy-minded workforce."
"306","617","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Security activities","Security","Architect and implement a secure and resilient defense-in-depth methodology that enforces the concept of “least functionality” through restricting network access to systems, applications and services."
"307","618","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Security activities","Physical security","Protect physical environments through layers of physical security and environmental controls that work together to protect both physical and digital assets from theft and damage."
"308","621","Industry","Security & Privacy by design","Capability","Secure Controls Framework (2022)","Risk management","Risk management","Execute Supply Chain Risk Management (SCRM) practices so that only trustworthy third-parties are used for products and/or service delivery."
"309","1,2,158, 262, 580, 589","Academia/industry","Data protection/privacy maturity","Capability","AICPA/CICA (2011), Association of Corporate Counsel (2019), Intel Privacy Office (2013), Labadie & Legner (2019) ","Data identification & classification","Data identification & classification","All personal data is identified and classified."
"310","262","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data identification & classification","Data classification","All personal data is risk rated."
"311","478, 613","Industry","PbD/Privacy maturity","Capability","Secure Controls Framework (2022), The MITRE Corporation (2019)","Data identification & classification","Data identification & classification","Implement and enforce a standardized process to identify personal data and classify personal data based on associated privacy risks."
"312","203, 492","Academia/industry","Privacy maturity","Capability","Qi (2016), The MITRE Corporation (2019)","Integrity & confidentiality","Data collection source reliability","Collect personal data directly from data subjects whenever possible."
"313","112, 372, 404, 440, 491, 81","Industry/government","Privacy maturity","Capability","AICPA/CICA (2011), Centrum informatiebeveiliging en privacybescherming (2017), Fort Privacy (2022), New Zealand Government (2014), The MITRE Corporation (2019)","Accuracy","Data quality","Documented policies, procedures and processes that cover all relevant aspects have been implemented to ensure the accuracy of personal information."
"314","209, 373, 458, 493","Academia","Privacy/data management maturity","Capability","AICPA/CICA (2011), CMMI Institute (2019), Qi (2016), The MITRE Corporation (2019)","Accuracy","Data quality","Quality is monitored and assessments are performed regularly to check the accuracy, completeness, up-to-date, adequacy and relevance of personal data."
"315","494, 496","Industry","Privacy maturity","Capability","The MITRE Corporation (2019)","Accuracy","Data quality","Develops data quality standards and guidelines that meet the organization’s statutory and regulatory privacy requirements and mission needs by ensuring the quality, utility, objectivity, and integrity of personal data."
"316","49, 108, 263","Industry/government","GDPR compliance/privacy maturity","Capability","AICPA/CICA (2011), Centrum informatiebeveiliging en privacybescherming (2017), Fort Privacy (2022)","Recording & registering","Recording & registering","All data processing activities in the organisation are documented in a record of processing activities (ROPA) that meets the requirements of Article 30 of the GDPR."
