"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description","Implemented when","Responsible actor"
"158","306","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Requirements","Identify high-level policies that are relevant in the specific business domains in which the system-to-be will be deployed.","Requirements engineering","Engineers"
"159","307","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","System engineering","System modelling","The system-to-be is modelled within its environment with actors, elements and the type of privacy sensitive data.","System modelling","Engineers"
"160","308","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","System engineering","System modelling","The system model contains information flows between elements which are mapped to constraints defined by high-level policies.","System modelling","Engineers"
"161","310","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","PIA/DPIA","PIA component","The PIA contains models of potential adversaries; misuse cases describing threat scenarios for specific system functionalities.","Requirements engineering","Engineers"
"162","313","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Requirements","Selected privacy goals are balanced against the security and functional requirements.","Requirements engineering (low level)","Engineers"
"163","316","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Technology","PETs are selected from a catalogue of countermeasures while taking into account non-security criteria such as cost.","Development","Developers"
"164","317","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Technology","The selected PETs are assessed for effectiveness of the contribution to the overall provided degree of privacy by the system being deployed.","Development","Developers"
"165","324","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Technology","Technical mechanisms are implemented that allow users to give specific and informed consents or express choices as to whether and how they wish data about them to be collected and processed.","N/A","N/A"
"166","325","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Privacy-by-design","Technology","Technical mechanisms are implemented that allow users to access their data so that they can correct or remove them, if needed.","N/A","N/A"
"167","326","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","System engineering","System development","Based on the underlying high- and low-level privacy requirements identified, technical (low-level) privacy policies are specified that are machine readable and enforceable by appropriated policy management components realizable as part of the system being developed.","Design","Designers"
"168","327","Academia","Privacy engineering in smart grids","Practice","Fhom & Bayarou (2011)","Audit, monitoring, & compliance","Auditing","Privacy-aware intrusion detection systems or audit tools are implemented to enforce policy and user preferences on the data processor.","N/A","N/A"
"169","328","Academia","DPbD architecture","Practice","Sion et al. (2019)","System engineering","Architecture","The system architecture contains a data protection viewpoint.","Architecture","Software/system architect"
"170","329","Academia","DPbD architecture","Practice","Sion et al. (2019)","System engineering","Architecture","The data protection viewpoint supports the modelling of data sets, processing purposes, lawful grounds, actors, legal roles, and data types.","Architecture","Software/system architect"
"171","330","Academia","DPbD architecture","Practice","Sion et al. (2019)","System engineering","Architecture","Data protection models in the architecture are verified for completeness and soundness.","Architecture","Software/system architect"
"172","332","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","Privacy-by-design","Requirements","Business requirements are elicited, privacy-violating requirements are discarded.","Requirements phase","Privacy engineer"
"173","334","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Architecture","The initial high-level system design has to be somewhat privacy-preserving.","Design","Privacy engineer"
"174","335","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","PIA/DPIA","PIA process & support","The initial high-level system design is analysed through a PIA for privacy preservation and regulation compliance.","Privacy analysis","Privacy engineers & legal advisors"
"175","338","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Testing","Low level privacy components are tested through unit tests.","Testing","Developers"
"176","339","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Testing","Integration testing is used to ensure the interaction of the low-level components executes as intended without posing privacy risks in the system.","Testing","System & privacy engineers"
"177","340","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Testing","System verifiers ensure that the implemented system meets both the predefined system and privacy requirements while reporting any mismatch to the corresponding team.","Testing","System & privacy engineers"
"178","341","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Testing","Acceptance testing is used to ensure that the system, which is about to be released to the public, meets the business requirements (including privacy and compliance requirements) defined at an earlier stage of development.","Testing","System & privacy engineers"
"179","342","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","System engineering","Maintenance","A periodical legal and technical assessment is performed after implementation to capture newly emerging requirements including privacy-related ones.","Maintenance","System & privacy engineers"
"180","343","Academia","Privacy-aware software development","Practice","Al-Momani et al. (2019)","PIA/DPIA","PIA process & support","Counter measures are selected based on correctness, integrability, and compatibility.","PIA","Privacy engineer"
"181","344","Academia","Continuous PIA","Practice","Sion et al. (2020)","PIA/DPIA","PIA process & support","Continuous risk assessment is supported by a privacy risk & compliance dashboard that provides a continuous, run-time inspection view on the system.","N/A","N/A"
"182","346","Academia","Continuous PIA","Practice","Sion et al. (2020)","Security","Breach/incident management","The impact of a breach on privacy is always assessed and reported.","Breach incident","N/A"
"183","348","Academia","Privacy compliance","Practice","Antignac et al. (2018)","System engineering","System modelling","The system is modelled in a privacy-aware DFD.","Architecture","Software architect"
"184","350","Academia","Privacy verification","Practice","Kost et al. (2011)","Privacy-by-design","Requirements","High-level privacy requirements are mapped to a detailed formal description of privacy requirements.","N/A","N/A"
"185","351","Academia","Privacy verification","Practice","Kost et al. (2011)","Privacy-by-design","Requirements","The formal requirements and formal system model are realised, including the structure and information flow.","N/A","N/A"
"186","354","Academia","Privacy requirements engineering","Practice","Martín et al. (2014)","Privacy-by-design","Requirements","A collection of roles is defined that are involved in the provision of privacy-compliant services and assigning privacy requirements to one or more of these roles.","N/A","N/A"
"187","356","Academia","Privacy requirements engineering","Practice","Martín et al. (2014)","System engineering","Strategies, tactics, & patterns","Engineers are provided an evolving catalogue of privacy patterns which instructs how to meet privacy requirements.","N/A","N/A"
"188","357","Academia","Privacy requirements engineering","Practice","Martín et al. (2014)","Privacy-by-design","Requirements","Levels of relevance of privacy requirements at the success criteria layer are defined, so that different levels of compliance can be required.","N/A","N/A"
"189","358","Academia","Privacy requirements engineering","Practice","Martín et al. (2014)","Third-party privacy management","Agreements","A privacy level agreement is made that addresses the level of privacy protection a service provider commits to undertake and maintain.","N/A","N/A"
"190","359","Academia","Privacy requirements engineering","Practice","Martín et al. (2014)","Third-party privacy management","Agreements","The privacy level agreement is part of a service level agreement.","N/A","N/A"
"191","361","Academia","Privacy/data protection engineering","Practice","Martín & Kung (2018)","System engineering","Development process","Privacy and data protection activities are integrated in the methods and workflows followed by engineers.","Software development lifecycle","Engineers"
"192","362","Academia","Privacy/data protection engineering","Practice","Martín & Kung (2018)","Environment cooperation","Environment cooperation","The organisation participates in learning from and contributing to the available body of knowledge amassed by the privacy community.","N/A","N/A"
"193","363","Academia","Privacy/data protection engineering","Practice","Martín & Kung (2018)","Audit, monitoring, & compliance","Compliance","An assurance process is in place, supporting the demonstration of compliance with regulation.","N/A","N/A"
"194","365","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Processing activity","Data identification & classification","It is determined whether the use of the system falls under any of the exceptions where special types of personal data can be processed.","Conceptualisation","N/A"
"195","369","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Data processing principles","Storage limitation","The storage limitation of processing activities is defined.","Conceptualisation","N/A"
"196","371","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Lawfulness, fairness, and transparency","Transparency","Plans are made for the achievement of transparency goals.","Conceptualisation","N/A"
"197","372","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Privacy-by-design","Requirements","Sector specific requirements are identified, i.e., certifications, codes of conduct, guidelines, etc.","Conceptualisation","N/A"
"198","373","Academia","DPbD for cybersecurity systems","Recommendation","Gkotsopoulou et al. (2019)","Lawfulness, fairness, and transparency","Consent","Consent is obtained in written (or electronic) form.","Design & Development","N/A"
"199","374","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Lawfulness, fairness, and transparency","Consent","Users are be able to withdraw consent at any time without negative consequences and should be facilitated to do so by technical means, as well.","Design & Development","N/A"
"200","375","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Privacy-by-design","Requirements","The system must ensure that other rights and  freedoms, such as freedom of expression and absence of discrimination are likewise safeguarded.","Design & Development","N/A"
"201","377","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Data subject rights","Data subject rights facilitation","The system and its components are designed in a way that relevant aspects of personal data processing are known to the data subjects, enabling them to make informed decisions and exercise their rights.","Design & Development","N/A"
"202","379","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","System engineering","Strategies, tactics, & patterns","Dark patterns are avoided.","Design & Development","N/A"
"203","380","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Audit, monitoring, & compliance","Auditing","Documentation regarding how legal requirements have been implemented, which vulnerabilities have been discovered, and which data protection methods are used, is created.","Design & Development","N/A"
"204","388","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","System engineering","Testing","Multilayer testing is conducted to verify that the planned DPbD measures were actually implemented and are indeed functional.","Testing","N/A"
"205","389","Academia","DPbD for cybersecurity systems","Practice","Gkotsopoulou et al. (2019)","Privacy-by-design","PbD processes","DPbD is applied with the addition of new features or any modifications in technical or organisational measures, as well as the maintenance of the system.","Maintenance","N/A"
"206","390","Academia","Security & privacy co-design","Practice","Vicini et al. (2016)","Privacy-by-design","Requirements","Needs and pain points of end-users are elicited through interview, focus groups, workshops, or brainstorming sessions.","N/A","N/A"
"207","392","Academia","Security & privacy co-design","Practice","Vicini et al. (2016)","Processing activity","Data identification & classification","Counter measures for sensitive personal data are determined.","N/A","N/A"
"208","393","Academia","Security & privacy co-design","Recommendation","Vicini et al. (2016)","Privacy-by-design","Requirements","Advice from legal/ethical experts is gained regarding requirements for sensitive personal data.","N/A","N/A"
"209","398","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Data minimisation","Minimise number of data sources: minimise the number of data sources used by an application.","IoT application","N/A"
"210","399","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Data minimisation","Minimise raw data intake: applications should reduce the amount of raw data acquired by the system.","IoT application","N/A"
"211","400","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Data minimisation","Minimise knowledge discovery: applications should only discover the knowledge necessary to achieve their primary objectives.","IoT application","N/A"
"212","401","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Data minimisation","Minimise data storage: minimise the amount of data stored by an application.","IoT application","N/A"
"213","402","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Data minimisation","Minimise data retention period: minimise the duration for which data is stored (i.e. avoid retaining data for longer than it is needed).","IoT application","N/A"
"214","403","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Security","Security activities","Support hidden data routing: To makes it more difficult for Internet activities to be traced back to the user, this guideline suggests that applications should support and employ anonymous routing mechanisms.","IoT application","N/A"
"215","405","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Privacy-by-design","Technology","Encrypted data communication: different components in an application should consider encrypted data communication wherever possible.","IoT application","N/A"
"216","406","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Privacy-by-design","Technology","Encrypted data processing: process data in encrypted form.","IoT application","N/A"
"217","407","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Privacy-by-design","Technology","Encrypted data storage: applications should store data in encrypted form.","IoT application","N/A"
"218","408","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Reduce data granularity: applications should request the minimum level of granularity that is required to perform their primary tasks.","IoT application","N/A"
"219","409","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Query answering: query's are answered with high-level answers, without releasing raw data.","IoT application","N/A"
"220","410","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Security","Security activities","Repeated query blocking: When answering queries, IoT applications need to make sure that they block any malicious attempts to discover knowledge that violates user privacy through repeated queries.","IoT application","N/A"
"221","411","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Processing activity","Distributed data processing: an application should process data in a distributed manner.","IoT application","N/A"
"222","412","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Processing activity","Distributed data storage: data should be stored in a distributed manner.","IoT application","N/A"
"223","413","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Knowledge discovery based aggregation: discover knowledge though aggregation and replace raw data with discovered new knowledge.","IoT application","N/A"
"224","414","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Geography based aggregation: aggregate data using geographical boundaries.","IoT application","N/A"
"225","415","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Chain aggregation: perform aggregation on-the-go while moving data from one node to another.","IoT application","N/A"
"226","416","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Time-Period based aggregation: aggregate data over time.","IoT application","N/A"
"227","417","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Processing activity","Data aggregation","Category based aggregation: Categorisation based aggregation approaches can be used to reduce the granularity of the raw data.","IoT application","N/A"
"228","420","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Audit, monitoring, & compliance","Monitoring","Logging: log events during all phases.","IoT application","N/A"
"229","421","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Audit, monitoring, & compliance","Auditing","Auditing: perform systematic and independent examinations of logs, procedures, processes, hardware and software specifications, and so on.","IoT application","N/A"
"230","422","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Environment cooperation","Environment cooperation","Open Source: making source code of an IoT application open allows any external party to review code.","IoT application","N/A"
"231","424","Academia","PbD in IoT","Guideline","Perera et al. (2020)","Data processing principles","Accountability","Certification: certification refers to the confirmation of certain characteristics of a system and process.","IoT application","N/A"
"232","427","Academia","Model-based privacy analysis","Practice","Ahmadia et al. (2018)","PIA/DPIA","PIA component","PIA generates system models with systematic specification of the system.","PIA","N/A"
"233","428","Academia","Model-based privacy analysis","Practice","Ahmadia et al. (2018)","PIA/DPIA","PIA component","PIA contains a privacy & security analysis.","PIA","N/A"
"234","432","Academia","Model-based privacy analysis","Practice","Ahmadia et al. (2018)","PIA/DPIA","PIA report","PIA is documented in a privacy level agreement.","PIA","N/A"
"235","434","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","Threat management","Threat management","The set of threat events are attributed to specific threat sources, with capability to exploit possible vulnerabilities, resulting in privacy harms.","N/A","N/A"
"236","435","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","Threat management","Threat management","For each privacy harm, privacy protection quality scenarios that correspond to reasonable threat scenarios are generated.","N/A","N/A"
"237","436","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","System engineering","Architecture","Appropriate tactics that control the response element of quality scenarios are identified to achieve the desired protection goals.","Architecture","N/A"
"238","437","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","System engineering","Architecture","Selected tactics need to be organised in a hierarchical manner to represent both abstract and concrete tactics.","Architecture","N/A"
"239","438","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","System engineering","Architecture","Once the most relevant architectural tactic has been identified, appropriate design patterns that describe the tactic are identified.","Architecture","N/A"
"240","440","Academia","Privacy architectural strategies","Practice","Alshammari & Simpson (2018)","Privacy-by-design","Technology","The forces and context and intent and/or problem of a privacy design pattern are mapped to the aim of the given PET.","Architecture","N/A"
"241","441","Academia","Security & privacy in HCD","Practice","Baldassarre et al. (2021)","PIA/DPIA","PIA component","A Privacy Impact Analysis is carried out to define the development context, the systems privacy critical actors, use cases and scenarios, and architectural requirements.","Analysis","N/A"
"242","444","Academia","Security & privacy in HCD","Practice","Baldassarre et al. (2021)","System engineering","Testing","Static code analysis is performed to identify any vulnerabilities produced during coding.","Development","N/A"
"243","445","Academia","Security & privacy in HCD","Practice","Baldassarre et al. (2021)","Security","Security activities","Penetration tests are conducted to verify the security level of the overall system.","Development","N/A"
"244","446","Academia","Security & privacy in HCD","Practice","Baldassarre et al. (2021)","Privacy-by-design","Privacy-by-default","During deployment the correct settings of the platform are verified through best practices for secure system configuration.","Deployment","N/A"
"245","458","Academia","PbD schemes for IoT","Key principle","Aljeraisy et al. (2021)","Processing activity","Source reliability","Source Principle: Unless there is an exception, personal information must be collected from the person the information is about.","N/A","N/A"
"246","460","Academia","PbD schemes for IoT","Key principle","Aljeraisy et al. (2021)","Processing activity","Data identification & classification","Dealing with Unsolicited Personal Data Principle: An organisation must take reasonable steps to manage unsolicited personal information. Unsolicited personal information is personal information received by an entity that has not been requested by that entity.","N/A","N/A"
"247","461","Academia","PbD schemes for IoT","Key principle","Aljeraisy et al. (2021)","Transparent information and communication for exercise of data rights","Disclosure","Adoption, Use or Disclosure of an identifier Principle: Adopting, using, or disclosing a unique identifier that was created for an individual for a different purpose should be prohibited.","N/A","N/A"
"248","467","Industry","Privacy-by-design compliance","Practice","Privacy Company (2019)","Data processing principles","Storage limitation","Data past the retention period gets flagged or deleted automatically.","N/A","N/A"
"249","469","Government","Privacy-by-design ","Principle","Cavoukian (2011)","Privacy-by-design","Privacy-by-design","Proactive not Reactive; Preventative not Remedial: PbD anticipates and prevents privacy invasive events before they happen.","N/A","N/A"
"250","472","Government","Privacy-by-design ","Principle","Cavoukian (2011)","System engineering","System development","Full Functionality  Positive-Sum, not Zero-Sum: PbD seeks to accommodate all legitimate interests and objectives in a positive-sum win-win manner, not through a dated, zero-sum approach, where unnecessary trade-offs are made.","N/A","N/A"
"251","473","Government","Privacy-by-design ","Principle","Cavoukian (2011)","Security","Security activities","End-to-End Security  Full Lifecycle Protection: PbD extends securely throughout the entire lifecycle of the data involved.","N/A","N/A"
"252","475","Government","Privacy-by-design ","Principle","Cavoukian (2011)","Organisational privacy awareness","Stakeholders","Respect for User Privacy  Keep it User-Centric: PbD requires architects and operators to keep the interests of the individual uppermost by offering such measures as strong privacy defaults, appropriate notice, and empowering user-friendly options.","N/A","N/A"
"253","476","Industry","Privacy-by-design ","Practice","PWC","System engineering","System development","Privacy risks are addressed as early in the development process as possible.","As early as possible","All relevant stakeholders"
"254","480","Industry","Privacy design strategies","Practice","Hoepman (2022)","Processing activity","Processing activity","Metadata is considered next to personal data.","N/A","N/A"
"255","481","Industry","Privacy design strategies","Practice","Hoepman (2022)","System engineering","Strategies, tactics, & patterns","Different privacy design strategies are applied to different relevant system components.","N/A","N/A"
"256","490","Government","Privacy-by-design ","Practice","ENISA (2014)","Organisational privacy awareness","Stakeholders","The choice of the trust relationships between the stakeholders is a key decision that is made.","Design","N/A"
"257","491","Government","Privacy-by-design ","Practice","ENISA (2014)","Organisational privacy awareness","Stakeholders","The user interaction types are determined and described.","Design","N/A"
"258","492","Government","Privacy-by-design ","Practice","ENISA (2014)","Privacy-by-design","Technology","Technical constraints in the environment are described.","Design","N/A"
"259","493","Government","Privacy-by-design ","Practice","ENISA (2014)","System engineering","Architecture","An architecture is designed, including component types, controlling stakeholders, computation localisation, communication links, and information flow.","Design","N/A"
"260","495","Government","Privacy-by-design ","Practice","ENISA (2014)","Audit, monitoring, & compliance","Compliance","Identified compliance inconsistencies are addressed with recommendations on how to achieve full compliance.","N/A","N/A"
"261","497","Government","Privacy-by-design ","Practice","ENISA (2014)","System engineering","Strategies, tactics, & patterns","Design strategies are applied during concept development and analysis.","Concept development & analysis","N/A"
"262","500","Government","Privacy-by-design ","Practice","ENISA (2014)","Security","Security activities","Storage privacy is ensured through technology-oriented counter measures.","N/A","N/A"
"263","502","Government","Privacy-by-design ","Recommendation","ENISA (2014)","PIA/DPIA","PIA process & support","Systems processing sensitive data periodically submit to a PIA conducted by an independent certification body.","N/A","N/A"
"264","503","Government","Privacy-by-design ","Recommendation","ENISA (2014)","Privacy-by-design","Requirements","Privacy and data protection criteria are part of the regular procurement procedures.","N/A","N/A"
"265","504","Government","Privacy-by-design ","Recommendation","ENISA (2014)","Organisational privacy awareness","Awareness","Education programs for raising awareness as well as transmitting knowledge need to be introduced for different target groups.","N/A","N/A"
"266","509","Government","Privacy-by-design ","Practice","Information and privacy commission New South Wales (2020)","Security","Unlinkability","Personal information from different sources is stored in separate databases, and these databases should not be linked unless this is necessary for your purposes.","N/A","N/A"
"267","515","Government","Privacy-by-design ","Practice","Information and privacy commission New South Wales (2020)","PIA/DPIA","PIA component","A PIA involves an assessment of positive and adverse privacy impacts including community reaction.","PIA","N/A"
"268","518","Government","Privacy-by-design ","Practice","Information and privacy commission New South Wales (2020)","Privacy-by-design","Technology","PETs are considered as one part of a broader information governance strategy, where other technical and policy measures are also used to ensure the secure handling of personal information throughout an organisation and its systems.","N/A","N/A"
"269","521","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","PIA/DPIA","PIA process & support","The level of data protection that should be achieved, given the PIA, is determined.","N/A","N/A"
"270","522","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The added value of PETs are verified, unnecessary PETs are removed.","N/A","N/A"
"271","523","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The type of PETs are determined.","N/A","N/A"
"272","524","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The quantitative and qualitative costs and benefits of PETs are evaluated.","N/A","N/A"
"273","526","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","System engineering","System development","The interfaces with other systems, departments, and third-parties in the supply chain are identified.","N/A","N/A"
"274","528","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The integration of the technical design of PETs in the technical design of information systems is described.","N/A","N/A"
"275","529","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The user-friendliness requirements of selected PETs are evaluated.","N/A","N/A"
"276","530","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Technology","PETs","The effectiveness of PETs is evaluated.","N/A","N/A"
"277","531","Industry","Privacy-by-design ","Practice","Koorn & Ter Horst (2011)","Organisational privacy awareness","Stakeholders","Stakeholder experiences are considered to determine improvements.","N/A","N/A"
"278","533","Industry","Privacy-by-design ","Practice","Tamò-Larrieux (2018)","Lawfulness, fairness, and transparency","Consent","Additional uses of data analysis must be consented to in the collection phase.","N/A","N/A"
"279","535","Industry","Privacy-by-design ","Practice","Tamò-Larrieux (2018)","Data subject rights","Data access","Mechanisms are implemented to empower users to obtain access to their raw data and gain insights into how such data is analysed.","Implementation","N/A"
"280","537","Industry","Privacy-by-design ","Practice","Tamò-Larrieux (2018)","Privacy-by-design","Technology","Security tools are implemented to ensure integrity and authenticity.","Implementation","N/A"
"281","539","Industry","Privacy-by-design ","Practice","Tamò-Larrieux (2018)","Privacy-by-design","Technology","Autonomy tools are implemented to control the way the data is analysed.","Implementation","N/A"
"282","540","Industry","Privacy-by-design ","Practice","Tamò-Larrieux (2018)","Privacy-by-design","Technology","Transparency tools are implemented to educate users about the analysis processes.","Implementation","N/A"
"283","544","Government","Privacy-by-design ","Practice","Agencia Española de Protección de Datos (AEPD) (2019)","PIA/DPIA","PIA component","The risk analysis establishes the specific objectives of data protection (unlinkability, transparency and intervenability) as well as security goals from the perspective of privacy (confidentiality, availability and integrity) that guarantee the basic principles established in Article 5 [61] of the GDPR.","N/A","N/A"
"284","546","Government","Data protection by design and default","Practice","Information Commissioner's Office (ICO) (2022)","Privacy-by-design","Privacy-by-design","Data protection issues are considered as part of the design and implementation of systems, services, products and business practices.","N/A","N/A"
"285","548","Government","Data protection by design and default","Practice","Information Commissioner's Office (ICO) (2022)","PIA/DPIA","PIA process & support","Risks and privacy-invasive events are anticipated before they occur, and steps are taken to prevent harm to individuals.","N/A","N/A"
"286","553","Government","Data protection by design and default","Practice","Information Commissioner's Office (ICO) (2022)","Lawfulness, fairness, and transparency","Transparency","Individuals are provided with tools so they can determine how their personal data is used, and whether the policies are being properly enforced.","N/A","N/A"
"287","558","Industry","PbD in smart products/services","Practice","Chaudhuri (2018)","Organisational privacy awareness","Stakeholders","Consider end users as key stakeholders of the ecosystem and address their privacy needs in the offering.","N/A","N/A"
"288","564","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Organisational privacy awareness","Stakeholders","Management must ensure to provide sufficient resources for the application of the principles of data protection by design in the organisations procurements and software development.","N/A","Executives"
"289","565","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Organisational privacy awareness","Training","Employees know what requirements are applicable, what they should look out for, and which tools enables them to convert knowledge of data protection and information security into software that safeguards it.","Training","Employees"
"290","573","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Privacy-by-design","Certifications","Identify relevant certification schemes that apply and what their requirements are.","N/A","N/A"
"291","575","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Data subject rights","Data subject rights facilitation","The software must ensure that other rights, such as freedom of expression, freedom of thought, absence of discrimination and freedom of religion, are safeguarded.","N/A","N/A"
"292","578","Government","Software development with DPbD","Recommendation","Datatilsynet (2017)","Security","Breach/incident management","Documentation of changes made within the software and to personal data is made to ensure traceability in security breaches.","N/A","N/A"
"293","580","Government","Software development with DPbD","Practice","Datatilsynet (2017)","PIA/DPIA","PIA component","The assessment contains an assessment of the necessity and proportionality of the processing in relation to the purposes.","PIA","N/A"
"294","581","Government","Software development with DPbD","Practice","Datatilsynet (2017)","PIA/DPIA","PIA component","The assessment contains an assessment of the risks to the rights and freedoms of the data subjects","PIA","N/A"
"295","583","Government","Software development with DPbD","Practice","Datatilsynet (2017)","PIA/DPIA","PIA component","Carry out a technical risk assessment of the softwares information security.","N/A","N/A"
"296","587","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Threat management","Threat management","Analyse the attack surface of the pre-designed software to reduce opportunities to exploit weaknesses and vulnerabilities in the software.","N/A","N/A"
"297","588","Government","Software development with DPbD","Practice","Datatilsynet (2017)","PIA/DPIA","PIA component","Perform a risk assessment of any vulnerabilities that remain and which must be mitigated using other measures. Ensure that these vulnerabilities are included in a risk log.","N/A","N/A"
"298","589","Government","Software development with DPbD","Practice","Datatilsynet (2017)","System engineering","Testing","Test that the requirements for data protection and security that were specified in requirements have in fact been implemented, and that they are correctly implemented.","N/A","N/A"
"299","591","Government","Software development with DPbD","Practice","Datatilsynet (2017)","System engineering","Development process","All relevant data from the entire development process should be archived, including all specifications, source code, binary code, private symbols, data protection impact assessment (DPIA), risk assessments, documentation, business continuity plans, licenses, and terms of service for third-party software.","N/A","N/A"
"300","592","Government","Software development with DPbD","Practice","Datatilsynet (2017)","Organisational privacy awareness","Roles & responsibilities","Identify and allocate roles, responsibilities, and authority.","N/A","N/A"
"301","593","Industry","Privacy-by-design","Practice","IT Governance & DQM GRC (2021)","Privacy-by-design","PbD processes","Privacy-by-design is addressed as early as the project vision and roadmap.","N/A","N/A"
"302","594","Industry","Privacy-by-design","Practice","IT Governance & DQM GRC (2021)","Privacy-by-design","Requirements","For each of the features you are building this project cycle, you should determine  and document  their design requirements and also take into account privacy requirements.","N/A","N/A"
"303","595","Industry","Privacy-by-design","Practice","IT Governance & DQM GRC (2021)","System engineering","Testing","Test all the features you built and make sure they work well within the overall product, checking the privacy requirements.","N/A","N/A"
"304","598","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","System engineering","Development process","Define necessary changes to existing life cycle activities, including roles, and supporting tools.","N/A","N/A"
"305","599","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","System engineering","Prototyping","Prototype updated systems engineering processes, guidance, and tools.","N/A","N/A"
"306","600","Industry","Privacy engineering","Practice","The MITRE Corporation (2019)","System engineering","Prototyping","Pilot prototypes and revise as necessary.","N/A","N/A"
